"AGE","AGE_less_than_35","AGE_35_44","AGE_45_54","AGE_55_64","AGE_65_74","AGE_75_plus","HHSEX","RACE_white_non_hispanic","RACE_black_african_american","RACE_hispanic","RACE_other","EDCL_no_HS","EDCL_HS_GED","EDCL_some_college","EDCL_college_degree","LF","ASSET","FIN","CHECKING","SAVING","CALL","STOCKS","HSTOCKS","THRIFT","IRAKH","DEBT","SAVED","INCOME","NWCAT","NETWORTH","YESFINRISK","NOFINRISK","SAVRES1","SAVRES2","SAVRES3","SAVRES4","SAVRES5","SAVRES6","SAVRES7","SAVRES8","KNOWL_not_knowledgeable","KNOWL_no_knowledge","KNOWL_somewhat_knowledgeable","KNOWL_very_knowledgeable","FINLIT_0","FINLIT_1","FINLIT_2","FINLIT_3","OCCAT2_managerial_professional","OCCAT2_technical_sales_services","OCCAT2_other_manual_labor","OCCAT2_not_working"
70,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,25850,2650,1700,950,0,0,0,0,0,600,0,21618.236473,1,25250,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
57,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1051200,428100,3000,0,0,0,0,0,320000,0,1,81068.386774,4,1051200,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
57,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,950200,428100,3000,0,0,0,0,0,320000,0,1,81068.386774,4,950200,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
57,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1030100,428100,3000,0,0,0,0,0,320000,0,1,81068.386774,4,1030100,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
57,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,989100,428100,3000,0,0,0,0,0,320000,0,1,81068.386774,4,989100,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
57,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1063200,428100,3000,0,0,0,0,0,320000,0,1,81068.386774,4,1063200,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
32,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,44000,13000,10000,3000,0,0,0,0,0,0,1,49721.943888,2,44000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
32,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,44000,13000,10000,3000,0,0,0,0,0,0,1,49721.943888,2,44000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
32,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,43000,13000,10000,3000,0,0,0,0,0,0,1,49721.943888,2,43000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
32,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,44000,13000,10000,3000,0,0,0,0,0,0,1,49721.943888,2,44000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
32,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,44000,13000,10000,3000,0,0,0,0,0,0,1,49721.943888,2,44000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
46,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,230300,2500,2500,0,0,0,0,0,0,145800,0,86472.945892,2,84500,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
46,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,229300,2500,2500,0,0,0,0,0,0,145800,0,86472.945892,2,83500,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
46,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,230300,2500,2500,0,0,0,0,0,0,145800,0,86472.945892,2,84500,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
46,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,230300,2500,2500,0,0,0,0,0,0,145800,0,86472.945892,2,84500,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
46,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,229400,2600,2500,0,0,0,0,0,0,145800,0,86472.945892,2,83600,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
75,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,46867500,31082000,207000,0,0,19280000,1,0,1260000,0,1,1887272.0441,5,46867500,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
75,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,41904600,24909000,56000,0,0,16000000,1,0,1500000,0,1,1929427.6052,5,41904600,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
75,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,37359600,20684000,150000,0,0,10270000,1,0,1570000,0,1,1902404.8096,5,37359600,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
75,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,44014600,27709000,84000,0,0,17510000,1,0,1590000,0,1,1890514.7796,5,44014600,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
